id,video_id,topic,text,clean_text,created_at,source,source_item_id,like_count,reply_count,manual_label,predicted_label,sentiment_score_raw,is_relevant
1,0qNL8VZHblA,arsenal,GÁY TO LÊN ANH EM PHÁO THỦ ƠIII,gáy to lên anh em arsenal arsenal pháo thủ ơii,2026-05-21T11:50:36Z,YouTube,0qNL8VZHblA,0,0,0,,,1
2,0qNL8VZHblA,arsenal,It's not done,it's not done,2026-05-20T14:05:33Z,YouTube,0qNL8VZHblA,0,0,2,,,0
3,0qNL8VZHblA,arsenal,Ai vào đây sau khi Arsenal đã vô địch ?,ai vào đây sau khi arsenal đã vô địch ?,2026-05-20T05:21:01Z,YouTube,0qNL8VZHblA,0,0,2,,,1
4,0qNL8VZHblA,arsenal,0:21 0:22 MCT là số 1 arsenal tuổi 1:11 1:11,<time> <time> manchester city là số 1 arsenal tuổi <time> <time>,2026-05-18T11:42:01Z,YouTube,0qNL8VZHblA,0,0,2,,,1
5,0qNL8VZHblA,arsenal,"Giờ pháo lại sáng cửa rồi , ngày mai mà thắng WH thì MC gần như hết hi vọng 😅","giờ arsenal pháo lại sáng cửa rồi , ngày mai mà thắng west ham thì manchester city gần như hết hi vọng haha",2026-05-09T00:38:20Z,YouTube,0qNL8VZHblA,0,0,0,,,1
6,0qNL8VZHblA,arsenal,🎉🎉,chúc mừng chúc mừng,2026-04-30T10:53:20Z,YouTube,0qNL8VZHblA,1,0,2,,,0
7,0qNL8VZHblA,arsenal,4:04 chấp cho 1 quả r =)),<time> chấp cho 1 quả r haha,2026-04-28T23:43:08Z,YouTube,0qNL8VZHblA,0,0,2,,,0
8,0qNL8VZHblA,arsenal,"Năm nay mà không vô địch được thì không còn gì để nói. Trách ai bây giờ, trách mình thôi.","năm nay mà không vô địch được thì không còn gì để nói. trách ai bây giờ, trách mình thôi.",2026-04-26T16:03:59Z,YouTube,0qNL8VZHblA,0,0,1,,,1
9,0qNL8VZHblA,arsenal,5:17 đảo đảo bóng nó cay cú nó tán khứa Cherki hài vãi😂,<time> đảo đảo bóng nó cay cú nó tán khứa cherki hài vãi haha,2026-04-25T17:21:19Z,YouTube,0qNL8VZHblA,0,0,0,,,1
10,0qNL8VZHblA,arsenal,"Lách qua khe cửa hẹp pháo vẫn quyết định được hạng nhì  ,khó vậy vẫn làm được 😅","lách qua khe cửa hẹp arsenal pháo vẫn quyết định được hạng nhì ,khó vậy vẫn làm được haha",2026-04-25T10:46:46Z,YouTube,0qNL8VZHblA,0,0,0,,,1
11,0qNL8VZHblA,arsenal,"pháo thủ cứ cuối mùa thì tịt ngòi, còn MC thì chỉ ăn hiếp ở giải ao làng.😄","arsenal arsenal pháo thủ cứ cuối mùa thì tịt ngòi, còn manchester city thì chỉ ăn hiếp ở giải ao làng. haha",2026-04-24T04:44:59Z,YouTube,0qNL8VZHblA,0,0,1,,,1
12,0qNL8VZHblA,arsenal,the citizens,the citizens,2026-04-23T13:38:53Z,YouTube,0qNL8VZHblA,0,0,2,,,0
13,0qNL8VZHblA,arsenal,"@hoanglonglephan4020 9 ngày trước fan Ars cười như được mùa, đội đua vô địch sắp trở thành đội bóng đầu tiên tới trắng môn thể thao Tiến Lên - Tứ Quý 2 🤣🤣🤣🤣","<user> 9 ngày trước fan arsenal cười như được mùa, đội đua vô địch sắp trở thành đội bóng đầu tiên tới trắng môn thể thao tiến lên - tứ quý 2 haha haha haha haha",2026-04-23T09:32:25Z,YouTube,0qNL8VZHblA,0,0,1,,,1
14,0qNL8VZHblA,arsenal,là một fan mc t thấy trận này pháo thủ chơi cũng rất tốt và họ còn thiếu bản lĩnh như mc nên thua cũng là chuyện thường tình😅😂,là một fan manchester city t thấy trận này arsenal arsenal pháo thủ chơi cũng rất tốt và họ còn thiếu bản lĩnh như manchester city nên thua cũng là chuyện thường tình haha haha,2026-04-23T05:18:14Z,YouTube,0qNL8VZHblA,0,0,2,,,1
15,0qNL8VZHblA,arsenal,Đô rê mon 🤡🤡🤡,đô rê mon 🤡🤡🤡,2026-04-22T19:44:02Z,YouTube,0qNL8VZHblA,0,0,2,,,0
16,0qNL8VZHblA,arsenal,Ars mùa này lại về nhì rồi đúng 4 mùa về nhì ahahaha,arsenal mùa này lại về nhì rồi đúng 4 mùa về nhì ahahaha,2026-04-22T12:31:51Z,YouTube,0qNL8VZHblA,0,0,1,,,1
17,0qNL8VZHblA,arsenal,Cúp nè MC tới lấy đi,cúp nè manchester city tới lấy đi,2026-04-22T11:55:49Z,YouTube,0qNL8VZHblA,0,0,1,,,1
18,0qNL8VZHblA,arsenal,Trận này Ars đá hay hơn,trận này arsenal đá hay hơn,2026-04-22T02:02:44Z,YouTube,0qNL8VZHblA,0,0,2,,,1
19,0qNL8VZHblA,arsenal,"Ars thời Giáo Sư tôi yêu 
Còn bjo là màu xanh tôi yêu thời của Pep",arsenal thời giáo sư tôi yêu còn bjo là màu xanh tôi yêu thời của pep,2026-04-22T01:53:47Z,YouTube,0qNL8VZHblA,0,0,0,,,1
20,0qNL8VZHblA,arsenal,"Đang hơn 3 điểm As nên phòng thủ phản công thủ hoà để mà vô địch,HLV tư duy chiến thuật dở","đang hơn 3 điểm as nên phòng thủ phản công thủ hoà để mà vô địch,hlv tư duy chiến thuật dở",2026-04-22T00:38:36Z,YouTube,0qNL8VZHblA,0,0,1,,,1
21,0qNL8VZHblA,arsenal,MC vây GK thế này mà k thấy báo đài nào nói nhỉ😅,manchester city vây gk thế này mà không thấy báo đài nào nói nhỉ haha,2026-04-21T16:25:23Z,YouTube,0qNL8VZHblA,0,0,2,,,0
22,0qNL8VZHblA,arsenal,Giờ mc mà vô địch mùa này mới chính là mùa mà pep sẽ nhớ mãi 1 trong những mùa ấn tượng nhất,giờ manchester city mà vô địch mùa này mới chính là mùa mà pep sẽ nhớ mãi 1 trong những mùa ấn tượng nhất,2026-04-21T16:24:50Z,YouTube,0qNL8VZHblA,0,1,2,,,0
23,0qNL8VZHblA,arsenal,ko vô địch mới nhớ mãi nhé 😅,không vô địch mới nhớ mãi nhé haha,2026-04-22T07:53:13Z,YouTube,0qNL8VZHblA,0,0,1,,,1
24,0qNL8VZHblA,arsenal,Arsenal vô địch. tại vì đội bóng mạnh bị hụt hơi,arsenal vô địch. tại vì đội bóng mạnh bị hụt hơi,2026-04-21T15:53:25Z,YouTube,0qNL8VZHblA,0,0,0,,,1
25,0qNL8VZHblA,arsenal,Thành London Chel bạc nhược... còn mỗi anh,thành london chel bạc nhược... còn mỗi anh,2026-04-21T14:51:38Z,YouTube,0qNL8VZHblA,0,0,2,,,0
26,0qNL8VZHblA,arsenal,Đá trận này xong 3 đời sau fan Ars còn sợ,đá trận này xong 3 đời sau fan arsenal còn sợ,2026-04-21T14:40:57Z,YouTube,0qNL8VZHblA,0,0,1,,,1
27,0qNL8VZHblA,arsenal,vl vừa vào nghe erling foden ??? blv k bt đọc à,vl vừa vào nghe erling foden ??? bình luận viên không bt đọc à,2026-04-21T14:04:36Z,YouTube,0qNL8VZHblA,0,0,2,,,0
28,0qNL8VZHblA,arsenal,Vội gì. 6-7 vòng nữa Arsenal cứ hạ ttiep tất cả các đối thủ còn lại là lại Vô địch thôi. Cũng lâu rồi chưa lên ngôi. Năm nay Pháo Thủ chất lượng chiều sâu . Xứng đáng số 1 EPL.,vội gì. 6-7 vòng nữa arsenal cứ hạ ttiep tất cả các đối thủ còn lại là lại vô địch thôi. cũng lâu rồi chưa lên ngôi. năm nay arsenal arsenal pháo thủ chất lượng chiều sâu . xứng đáng số 1 epl.,2026-04-21T13:54:50Z,YouTube,0qNL8VZHblA,0,0,0,,,1
29,0qNL8VZHblA,arsenal,Năm nay pháo lại trắng tay,năm nay arsenal pháo lại trắng tay,2026-04-21T13:25:01Z,YouTube,0qNL8VZHblA,0,0,1,,,1
30,0qNL8VZHblA,arsenal,Tiêu đề thì ghi cá cược là trái phép ở việt nam mà video lại hiện dòng chữ betway dài loằng ngoằng hahahahahhaha,tiêu đề thì ghi cá cược là trái phép ở việt nam mà video lại hiện dòng chữ betway dài loằng ngoằng hahahahahhaha,2026-04-21T12:55:57Z,YouTube,0qNL8VZHblA,0,0,2,,,0
31,0qNL8VZHblA,arsenal,man xanh quá đỉnh,manchester city quá đỉnh,2026-04-21T12:52:38Z,YouTube,0qNL8VZHblA,0,0,2,,,0
32,0qNL8VZHblA,arsenal,Man city gặp msy nhiều quá. Hút chết mấy lần,man city gặp msy nhiều quá. hút chết mấy lần,2026-04-21T12:18:45Z,YouTube,0qNL8VZHblA,0,0,2,,,0
33,0qNL8VZHblA,arsenal,Thủ môn chủ nhà sướng 1,thủ môn chủ nhà sướng 1,2026-04-21T11:42:26Z,YouTube,0qNL8VZHblA,0,0,2,,,0
34,0qNL8VZHblA,arsenal,BLV fan Arsenal à ? Erling Halan ghi bàn hay vậy chỉ đọc tên. Phê bình nhé,bình luận viên fan arsenal à ? erling halan ghi bàn hay vậy chỉ đọc tên. phê bình nhé,2026-04-21T11:10:02Z,YouTube,0qNL8VZHblA,0,0,2,,,0
35,0qNL8VZHblA,arsenal,Donaruma bán độ cm r😂,donaruma bán độ cm r haha,2026-04-21T10:58:22Z,YouTube,0qNL8VZHblA,0,0,2,,,0
36,0qNL8VZHblA,arsenal,hi,hi,2026-04-21T10:52:53Z,YouTube,0qNL8VZHblA,0,0,2,,,0
37,0qNL8VZHblA,arsenal,A phú thảo trận này hơi đen,arsenal a phú thảo trận này hơi đen,2026-04-21T10:09:12Z,YouTube,0qNL8VZHblA,0,0,2,,,1
38,0qNL8VZHblA,arsenal,Co don danh cho ai day,co don danh cho ai day,2026-04-21T09:40:43Z,YouTube,0qNL8VZHblA,0,0,2,,,0
39,0qNL8VZHblA,arsenal,"Trong lúc ae đang vui mừng chiến thắng của mc t lại lo lắng Rodri bị chấn thương nặng và ko thể ra sân các vòng còn lại, đó sẽ là mất mát lớn ảnh hưởng ít nhiều đến cuộc đua vô địch ae fan MC cầu mong Rodri trở lại sân mạnh khoẻ đi :v","trong lúc ae đang vui mừng chiến thắng của manchester city t lại lo lắng rodri bị chấn thương nặng và không thể ra sân các vòng còn lại, đó sẽ là mất mát lớn ảnh hưởng ít nhiều đến cuộc đua vô địch ae fan manchester city cầu mong rodri trở lại sân mạnh khoẻ đi :v",2026-04-21T09:40:38Z,YouTube,0qNL8VZHblA,0,0,2,,,0
40,0qNL8VZHblA,arsenal,"Cặp CB của Mci uy tín quá, nếu ko có sai lầm của Donna thì chắc Ars ko có dc bàn thắng danh dự","cặp cb của mci uy tín quá, nếu không có sai lầm của donna thì chắc arsenal không có được bàn thắng danh dự",2026-04-21T05:01:21Z,YouTube,0qNL8VZHblA,0,0,2,,,0
41,0qNL8VZHblA,arsenal,Ars vua về nhì😂,arsenal vua về nhì haha,2026-04-21T04:45:36Z,YouTube,0qNL8VZHblA,0,0,1,,,1
42,0qNL8VZHblA,arsenal,1-Feb,1-feb,2026-04-21T04:31:17Z,YouTube,0qNL8VZHblA,0,0,2,,,0
43,0qNL8VZHblA,arsenal,Chuông kì bu thì đá mấy vẫn vậy th à = )))))))),chuông kì bu thì đá mấy vẫn vậy th à = )))))))),2026-04-21T04:30:28Z,YouTube,0qNL8VZHblA,0,0,2,,,1
44,0qNL8VZHblA,arsenal,Lan ơi là lan,lan ơi là lan,2026-04-21T03:54:47Z,YouTube,0qNL8VZHblA,0,0,2,,,0
45,0qNL8VZHblA,arsenal,"PHAO THU CHI ĐC LUC ĐÂU THÔI  MAN CITY THI ĐI NUOC RUT HAY LĂM , NĂM NAY LÀ NAM THU 3 LIÊN TIEP PHAO THU BI CUOP VÔ DICH","phao thu chi được luc đâu thôi man city thi đi nuoc rut hay lăm , năm nay là nam thu 3 liên tiep phao thu bi cuop vô dich",2026-04-21T02:57:56Z,YouTube,0qNL8VZHblA,0,0,2,,,0
