id,video_id,topic,text,clean_text,created_at,source,source_item_id,like_count,reply_count,final_is_relevant,final_manual_label
1,0qNL8VZHblA,arsenal,GÁY TO LÊN ANH EM PHÁO THỦ ƠIII,gáy to lên anh em arsenal arsenal pháo thủ ơii,2026-05-21T11:50:36Z,YouTube,0qNL8VZHblA,0,0,1,0
2,0qNL8VZHblA,arsenal,It's not done,it's not done,2026-05-20T14:05:33Z,YouTube,0qNL8VZHblA,0,0,0,2
3,0qNL8VZHblA,arsenal,Ai vào đây sau khi Arsenal đã vô địch ?,ai vào đây sau khi arsenal đã vô địch ?,2026-05-20T05:21:01Z,YouTube,0qNL8VZHblA,0,0,1,2
4,0qNL8VZHblA,arsenal,0:21 0:22 MCT là số 1 arsenal tuổi 1:11 1:11,<time> <time> manchester city là số 1 arsenal tuổi <time> <time>,2026-05-18T11:42:01Z,YouTube,0qNL8VZHblA,0,0,1,1
5,0qNL8VZHblA,arsenal,"Giờ pháo lại sáng cửa rồi , ngày mai mà thắng WH thì MC gần như hết hi vọng 😅","giờ arsenal pháo lại sáng cửa rồi , ngày mai mà thắng west ham thì manchester city gần như hết hi vọng haha",2026-05-09T00:38:20Z,YouTube,0qNL8VZHblA,0,0,1,0
6,0qNL8VZHblA,arsenal,🎉🎉,chúc mừng chúc mừng,2026-04-30T10:53:20Z,YouTube,0qNL8VZHblA,1,0,0,2
7,0qNL8VZHblA,arsenal,4:04 chấp cho 1 quả r =)),<time> chấp cho 1 quả r haha,2026-04-28T23:43:08Z,YouTube,0qNL8VZHblA,0,0,0,2
8,0qNL8VZHblA,arsenal,"Năm nay mà không vô địch được thì không còn gì để nói. Trách ai bây giờ, trách mình thôi.","năm nay mà không vô địch được thì không còn gì để nói. trách ai bây giờ, trách mình thôi.",2026-04-26T16:03:59Z,YouTube,0qNL8VZHblA,0,0,1,1
9,0qNL8VZHblA,arsenal,5:17 đảo đảo bóng nó cay cú nó tán khứa Cherki hài vãi😂,<time> đảo đảo bóng nó cay cú nó tán khứa cherki hài vãi haha,2026-04-25T17:21:19Z,YouTube,0qNL8VZHblA,0,0,0,2
10,0qNL8VZHblA,arsenal,"Lách qua khe cửa hẹp pháo vẫn quyết định được hạng nhì  ,khó vậy vẫn làm được 😅","lách qua khe cửa hẹp arsenal pháo vẫn quyết định được hạng nhì ,khó vậy vẫn làm được haha",2026-04-25T10:46:46Z,YouTube,0qNL8VZHblA,0,0,1,1
